,Current Weather,Surf Height,Surf Period,Surf Direction,Surf Quality,Water Temperature,Wind Direction,Wind Speed,Air Temperature,Sun Rise,Sun Set,High Tide,Low Tide,time
1,Clouds,3-4 FT - Waist to chest,22 seconds,Southwest,Fair,62 - 62 ° F,North,0 MPH,52 ° F,06:55 AM,04:50 PM,07:13 AM 6.3' / 09:14 PM 3.61',01:01 AM: 2.17' / 02:46 PM: -1.05',December 25 at 8:00 AM
1,Clear,3-4 FT - Waist to chest,20 seconds,Southwest,Poor To Fair,62 - 62 ° F,Southwest,3.44 MPH,66 ° F,06:55 AM,04:50 PM,07:13 AM 6.3' / 09:14 PM 3.61',01:01 AM: 2.17' / 02:46 PM: -1.05',December 25 at 12:30 PM
1,Clear,3-4 FT - Waist to chest,20 seconds,Southwest,Poor To Fair,62 - 62 ° F,Southwest,3.44 MPH,66 ° F,06:55 AM,04:50 PM,07:13 AM 6.3' / 09:14 PM 3.61',01:01 AM: 2.17' / 02:46 PM: -1.05',December 25 at 12:30 PM
1,Fog,3-4 FT - Waist to shoulder,17 seconds,West,Fair,62 - 62 ° F,North,0 MPH,53 ° F,06:56 AM,04:51 PM,07:50 AM 6.27' / 09:56 PM 3.58',01:40 AM: 2.26' / 03:25 PM: -1.08',December 26 at 8:00 AM
1,Clouds,3-4 FT - Waist to chest,16 seconds,West,Fair,62 - 62 ° F,West-Southwest,1.01 MPH,65 ° F,06:56 AM,04:51 PM,07:50 AM 6.27' / 09:56 PM 3.58',01:40 AM: 2.26' / 03:25 PM: -1.08',December 26 at 12:30 PM
1,Clouds,3-4 FT - Waist to chest,16 seconds,West,Fair,62 - 62 ° F,West-Southwest,1.01 MPH,65 ° F,06:56 AM,04:51 PM,07:50 AM 6.27' / 09:56 PM 3.58',01:40 AM: 2.26' / 03:25 PM: -1.08',December 26 at 12:30 PM
1,Mist,3-4 FT - Waist to shoulder,18 seconds,West-Southwest,Fair,62 - 62 ° F,North,0 MPH,53 ° F,06:56 AM,04:51 PM,08:25 AM 6.17' / 10:36 PM 3.54',02:18 AM: 2.36' / 04:02 PM: -0.98',December 27 at 8:00 AM
1,Mist,3-4 FT - Waist to shoulder,18 seconds,West-Southwest,Fair,62 - 62 ° F,South-Southwest,4 MPH,64 ° F,06:56 AM,04:51 PM,08:25 AM 6.17' / 10:36 PM 3.54',02:18 AM: 2.36' / 04:02 PM: -0.98',December 27 at 12:30 PM
1,Mist,3-4 FT - Waist to shoulder,18 seconds,West-Southwest,Fair,62 - 62 ° F,South-Southwest,4 MPH,64 ° F,06:56 AM,04:51 PM,08:25 AM 6.17' / 10:36 PM 3.54',02:18 AM: 2.36' / 04:02 PM: -0.98',December 27 at 12:30 PM
1,Mist,5-7 FT - Head to 2ft overhead,21 seconds,West-Southwest,Fair,62 - 62 ° F,North-Northwest,3 MPH,56 ° F,06:56 AM,04:52 PM,09:01 AM 5.97' / 11:16 PM 3.51',02:54 AM: 2.43' / 04:39 PM: -0.79',December 28 at 8:00 AM
